Course,Link,GMAT,IELTS,Degree
ancientvmc,https://warwick.ac.uk/study/postgraduate/courses/ancientvmc,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Ancient Visual and Material Culture taught Master's degree.Explore our Ancient Visual and Material Culture taught Master's degree.Skills from this degreeThe degree is designed to introduce you to major issues in the study of ancient material culture, and to key methodologies and approaches. It will help to develop your intellectual skills in the following areas:Applicants will need to have achieved or be expecting to achieve a good 2:i undergraduate degree in Classics/Ancient History/Archaeology or a relevant subject to be considered for entry.What can you do with a Classics and Ancient History degree?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
appliedlinguisticsmphilphd,https://warwick.ac.uk/study/postgraduate/courses/appliedlinguisticsmphilphd,,IELTS overall score of 7.0 (with a 7.0 in Writing).,"2:i undergraduate degree (or equivalent) in ELT/TESOL, English, Education, Linguistics, Languages or a relevant discipline; a Master’s degree in ELT/TESOL, Applied Linguistics or a relevant discipline.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
appliedscreenstudies,https://warwick.ac.uk/study/postgraduate/courses/appliedscreenstudies,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",A good Master’s degree (or equivalent) in a relevant discipline. Experience and/or training in the field or form related to the practice element of the proposed research is welcome.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
appliedtheatre,https://warwick.ac.uk/study/postgraduate/courses/appliedtheatre,,IELTS Overall (Academic) score of 7.0 and component scores.,"Explore our Applied Theatre: Arts, Action, Change taught Master's degree.Explore our Applied Theatre: Arts, Action, Change taught Master's degree.The MA in Applied Theatre: Arts, Action, Change is a taught postgraduate degree that addresses contemporary practice in applied theatre and socially engaged performance. It invites you to explore, make and interrogate performance practices that are broadly concerned with contributing to social change in a variety of settings (e.g. criminal justice, theatre for development, homelessness, learning disability, schools, the elderly and healthcare). With a strong focus on professional practice and development, the degree addresses the ways in which performance modes can contribute to different applied, community and institutional settings nationally and internationally.This degree will help you to: You will have, or be expecting to obtain, a First or 2:i undergraduate degree from a UK university or an equivalent qualification from an overseas university. Your degree will normally be in an arts, humanities, media or social science-related subject.Offering academic rigour, practical skills and connections with the industry, this degree has career prospects both within the arts sector and far beyond. You’ll be taught by world-leading academics and cutting-edge theatre practitioners.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
artsenterprisedevelopment,https://warwick.ac.uk/study/postgraduate/courses/artsenterprisedevelopment,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Creative and Media Enterprises taught Master's degree.Explore our Creative and Media Enterprises taught Master's degree.2:i undergraduate degree (or equivalent) in a related subjectRobe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
behaviouraldatascience,https://warwick.ac.uk/study/postgraduate/courses/behaviouraldatascience,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Behavioural and Data Science taught Master's degree.Explore our Behavioural and Data Science taught Master's degree.Skills from this degreeThe MSc in Behavioural and Data Science is a quantitative degree and students should feel comfortable taking a mathematical approach to their thinking.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
behaviouraleconomics,https://warwick.ac.uk/study/postgraduate/courses/behaviouraleconomics,,,"Explore our Behavioural and Economics Science (Economics) taught Master's degree.Behavioural and Economic Science (Economics) MSc is designed for students with an Economics degree. Warwick's Economics department, ranked 3rd in the UK (The Complete University Guide 2022) and 25th the World (The QS World University Subject Rankings 2021), offers you a programme examining theoretical and real-world applications of decision science and behavioural economics.Explore our Behavioural and Economics Science (Economics) taught Master's degree.The Economics variant of the course is designed for students with a first degree in Economics. A  and is available if you have a first degree in Science. Skills from this degree2:i undergraduate degree (or equivalent) specialising mainly in economics. This means you should have achieved a good standard in undergraduate courses in microeconomics, macroeconomics and econometrics/economic statistics at an intermediate level. Students need to have previously completed undergraduate courses in microeconomics, macroeconomics and econometrics/economic statistics at an intermediate level. The MSc Behavioural and Economic Science (Economics Track) is a quantitative degree and students will need to be competent in several areas of mathematics. All students attend a short Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
behaviouraleconomicscience,https://warwick.ac.uk/study/postgraduate/courses/behaviouraleconomicscience,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Behavioural and Economic Science taught Master's degree.Explore our Behavioural and Economic Science taught Master's degree. is designed for students with a first degree in a science-based subject, such as Psychology, Maths, Biology, etc. or a subject with a strong quantitative element, such as Business, Finance, etc.A variation of the course is offered by the Department of Economics and is available if you have a first degree in Economics.Skills from this degree2:i undergraduate degree (or equivalent) in a related subject.The MSc Behavioural and Economic Science is a quantitative degree and you should feel comfortable taking a mathematical approach to your thinking. The aim of this module is to examine the foundations of microeconomic analysis from a behavioural perspective and introduce basic microeconomic concepts to non-economists. It will achieve this objective by subjecting many of the fundamental assumptions made in standard undergraduate degree courses to close critical scrutiny. It will familiarise you with recent research developments in behavioural economics and the possible implications for theory and policy raised by these developments. This module covers core psychology and behavioural science content relevant to later modules in the degree, including memory, attention, perception, personality and individual differences, choice, and subjective well-being. It will provide you with the psychological background to enable you to understand and critically evaluate material on those later modules. Through a combination of lectures, seminars, and laboratory-based sessions, you will learn about both models and data in the relevant areas of psychology. You will also learn basic MATLAB programming and model implementation. Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
bigdatadigitalfutures,https://warwick.ac.uk/study/postgraduate/courses/bigdatadigitalfutures,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Big Data and Digital Futures taught Master's degree.Explore our Big Data and Digital Futures taught Master's degree.This degree responds directly to the growing demand across research fields and by employers in society for a new generation of postgraduates who can critically engage with big data theoretically, methodologically and practically. In contrast to many big data-focused degrees (such as Data Science or Data Analytics) where the emphasis is almost exclusively on data practices and computational tools, this degree underpins key practical skills with a range of theoretical approaches to data. 2:i undergraduate degree.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
biomedengineering,https://warwick.ac.uk/study/postgraduate/courses/biomedengineering,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Biomedical Engineering taught Master's degree.Explore our Biomedical Engineering taught Master's degree.A 2:ii undergraduate degree (or equivalent) in a relevant branch of engineering or science degree.The degree comprises eight taught modules and a project. The individual project entails an in-depth experimental, theoretical or computational investigation on a topic chosen by the student in conjunction with an academic supervisor.The MSc degree (totalling 180 credits) comprises: Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
bbbusinessmanagement,https://warwick.ac.uk/study/postgraduate/courses/bbbusinessmanagement,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Biotechnology, Bioprocessing and Business Management taught Master's degree.Explore our Biotechnology, Bioprocessing and Business Management taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent). Candidates must have obtained at least a second class honours degree, or an equivalent qualification, in Life Sciences, Engineering or Business Studies (students from an engineering or business background must be a high class student and demonstrate an interest in biological science).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businessdba,https://warwick.ac.uk/study/postgraduate/courses/businessdba,,IELTS overall score of 7.0 with maximum of two components at 6.0+,"It is equivalent in stature to a Doctor of Philosophy (PhD) degree, but distinct in that candidates pursue applied research rather than theoretical knowledge.2:i undergraduate degree (or equivalent) plus a good MBA or other Master’s degree. A minimum of 7 years’ senior management experience. Robe hire for your degree ceremonyIf you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Here is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
badistancelearning,https://warwick.ac.uk/study/postgraduate/courses/badistancelearning,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Business Administration (Distance Learning) taught Master's degree.Explore our Business Administration (Distance Learning) taught Master's degree.Skills from this degreeThe culmination of your degree will be a substantive piece of research and a dissertation. Your dissertation will allow you to apply what you have learned during your MBA to a real management issue in practice. It enables you to explore a business issue thoroughly from multiple perspectives and make practical recommendations drawing on the theories, concepts, frameworks and tools that you have learned about during the course and extended in your own studies.If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremony"
baexecutive,https://warwick.ac.uk/study/postgraduate/courses/baexecutive,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Business Administration (Executive) taught Master's degree.Explore our Business Administration (Executive) taught Master's degree.Skills from this degreeIf you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremony"
bafulltime,https://warwick.ac.uk/study/postgraduate/courses/bafulltime,"You must have a 2:i at undergraduate level from a UK university or the equivalent from an overseas university. However, we also welcome applications from candidates who do not have the academic qualifications but are exceptional, with a proven ability to achieve. Generally you will need a well-balanced GMAT score (our current GMAT average is 660), or a valid GRE score equivalent to GMAT admissions requirements. ","IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Business Administration taught Master's degree.Explore our Business Administration taught Master's degree.Skills from this degreeIf you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businessanalytics,https://warwick.ac.uk/study/postgraduate/courses/businessanalytics,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Business Analytics taught Master's degree.Explore our Business Analytics taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent).We consider applications from a wide range of degrees including economics, business, engineering, psychology, geography, sociology, and politics.If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businessfinance,https://warwick.ac.uk/study/postgraduate/courses/businessfinance,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Business and Finance taught Master's degree.Explore our Business and Finance taught Master's degree.Our MSc has been designed as an industry-focused postgraduate course for graduates with a strong quants and/ or finance background in their undergraduate degree.Skills from this degreeFirst Class Honours degree or a high 2:i undergraduate degree (or equivalent), which will have included some study of Finance.Assessment is a mix of exams, project and group work, and tests. Your 6,000 word dissertation or Business in Practice module brings all your learning together. To complete your degree, you will have the option to choose between the Dissertation or Business in Practice route:If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businessmanagement,https://warwick.ac.uk/study/postgraduate/courses/businessmanagement,"GMAT or GRE score required. No predefined threshold established, score merely to support application.","IELTS - overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above","Bachelors degree: First Class (recommended)Masters degree: Distinction (recommended) in social sciences, behavioral sciences or engineering. In exceptional circumstances, we will consider MBAs without a social or behavioural science or engineering background or candidates without a Masters who hold a strong First Class Honours undergraduate degree supported by a very strong CV and academic references. Decisions on these and other exceptions will be made on a case-by-case basis.Robe hire for your degree ceremonyIf you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Here is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businesstransformation,https://warwick.ac.uk/study/postgraduate/courses/businesstransformation,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Find out more about our Business Transformation Master's by Research degree.Find out more about our Business Transformation Master's by Research degree.2:i undergraduate degree and/or a Master’s degree (or equivalent) in a relevant subject.Robe hire for your degree ceremonyOur Postgraduate Research degrees
businesswithaf,https://warwick.ac.uk/study/postgraduate/courses/businesswithaf,,,"This course will not be available for 2022 entry, but you may be interested in our other Master's degrees below.This course will not be available for 2022 entry, but you may be interested in our other Master's degrees below.If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?"
businessconsulting,https://warwick.ac.uk/study/postgraduate/courses/businessconsulting,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above","Learn more about our Business with Consulting taught Master's degree.Learn more about our Business with Consulting taught Master's degree.Skills from this degreeTailor your degree to your own interests with our range of optional modules2:i undergraduate degree (or equivalent). This course will suit a wide variety of candidates looking to break into business, and we welcome applicants from all academic fields.To complete your degree, you will have the option to choose between the Dissertation or Business in Practice route:If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businessmarketing,https://warwick.ac.uk/study/postgraduate/courses/businessmarketing,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above","Explore our Business with Marketing taught Master's degree.Explore our Business with Marketing taught Master's degree.Skills from this degreeTailor your degree to your own interests with our range of optional modules2:i undergraduate degree (or equivalent).To complete your degree, you will have the option to choose between the Dissertation or Business in Practice route:If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
businessoperationsmanagement,https://warwick.ac.uk/study/postgraduate/courses/businessoperationsmanagement,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above"," taught Master's degree. taught Master's degree.Skills from this degreeTailor your degree to your own interests with our range of optional modules2:i undergraduate degree (or equivalent) in a related subject.To complete your degree, you will have the option to choose between the Dissertation or Business in Practice route:If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
careercoaching,https://warwick.ac.uk/study/postgraduate/courses/careercoaching,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
careerdevelopmentma,https://warwick.ac.uk/study/postgraduate/courses/careerdevelopmentma,,Overall IELTS (Academic or UKVI) score of 7.0 and component scores.,Explore our Career Development and Coaching Studies taught Master's degree.Explore our Career Development and Coaching Studies taught Master's degree.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
careerdevelopmentpgcert,https://warwick.ac.uk/study/postgraduate/courses/careerdevelopmentpgcert,,Overall IELTS (Academic or UKVI) score of 7.0 and component scores.,Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
careerdevelopmentpgdip,https://warwick.ac.uk/study/postgraduate/courses/careerdevelopmentpgdip,,Overall IELTS (Academic or UKVI) score of 7.0 and component scores.,Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
careerdevelopmenttheories,https://warwick.ac.uk/study/postgraduate/courses/careerdevelopmenttheories,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
careereducationma,https://warwick.ac.uk/study/postgraduate/courses/careereducationma,,"IELTS overall score of 6.5, minimum component scores not below 6.0. ","Explore our Career Education, Information and Guidance in HE, taught Master's degree.Explore our Career Education, Information and Guidance in HE, taught Master's degree.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
careereducationpgcert,https://warwick.ac.uk/study/postgraduate/courses/careereducationpgcert,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
careereducationpgdip,https://warwick.ac.uk/study/postgraduate/courses/careereducationpgdip,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
caribbeanstudies,https://warwick.ac.uk/study/postgraduate/courses/caribbeanstudies,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Find out more about our Caribbean Studies Master's by Research degree.Find out more about our Caribbean Studies Master's by Research degree.You will develop your research project through a combination of independent research and regular meetings with your supervisor(s). The supervisory relationship is at the heart of your research. Your supervisor(s) are experts in their field who will guide you throughout your degree and will agree upon a programme of reading, research and writing with you.2:i undergraduate degree (or equivalent) in a relevant subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
caribbeanstudiesmphilphd,https://warwick.ac.uk/study/postgraduate/courses/caribbeanstudiesmphilphd,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Each year, your work will also be read and assessed by other academic staff in your field. The final goal of the research degree is the production of your thesis. You will write 80,000 words (excluding footnotes, bibliography and appendices) on a topic of your choice; and be examined by an internal and external examiner in a viva.You will develop your research project through a combination of independent research and regular meetings with your supervisor(s). The supervisory relationship is at the heart of your research. Your supervisor(s) are experts in their field who will guide you throughout your degree and will agree upon a programme of reading, research and writing with you.2:i undergraduate degree (or equivalent) in a relevant subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
challengesinhe,https://warwick.ac.uk/study/postgraduate/courses/challengesinhe,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
chemistrybyresearch,https://warwick.ac.uk/study/postgraduate/courses/chemistrybyresearch,,"IELTS overall score of 6.5, minimum component scores not below 6.0. ",Find out more about this MSc in Chemistry by Research degree.Find out more about this MSc in Chemistry by Research degree.2:ii undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
phdchemistry,https://warwick.ac.uk/study/postgraduate/courses/phdchemistry,,"IELTS overall score of 6.5, minimum component scores not below 6.0. ",2:i undergraduate degree (or equivalent) in Chemistry or a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
chemistryscientificwriting,https://warwick.ac.uk/study/postgraduate/courses/chemistryscientificwriting,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Explore our Chemistry with Scientific Writing taught Master's degree.Explore our Chemistry with Scientific Writing taught Master's degree.2:i undergraduate degree (or equivalent) in a science subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
childhoodinsoc,https://warwick.ac.uk/study/postgraduate/courses/childhoodinsoc,,"IELTS score to 7 overall, two at 6.0/6.5 & rest 7.0+","Explore our Childhood in Society taught Master's degree.Explore our Childhood in Society taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent).The dissertation is an opportunity to explore, in depth, an area of academic and/or professional interest related to your degree. Building on the knowledge and skills developed during the Foundation Research Methods module, and your other modules, you will conduct an independent research project, developing a deeper understanding of your chosen topic. From your research project, you will produce a dissertation, with guidance from a supervisor who will be allocated to you. Through the dissertation, you will demonstrate the ability to analyse and synthesise relevant literature, produce coherent arguments supported by relevant evidence and logical discussion, and acknowledge sources of ideas and information.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
classicsresearch,https://warwick.ac.uk/study/postgraduate/courses/classicsresearch,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Find out more about our Classics and Ancient History Master's by Research degree.Find out more about our Classics and Ancient History Master's by Research degree.Applicants will need to have achieved or be expecting to achieve a high upper Second Class degree in Classics/Ancient history/Archaeology or a relevant subject to be considered for entry.Standard offers for successful applicants will typically be conditional on achieving a 2:i degree with overall average of at least 65% with 68% or over for any dissertation submitted.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
mphilphdclassics,https://warwick.ac.uk/study/postgraduate/courses/mphilphdclassics,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above. ",Applicants will need to have achieved a First or high upper Second Class degree in Classics/Ancient History/Archaeology and to have achieved or be expecting to achieve at least a high merit mark on a Master’s degree in a relevant subject to be considered for entry.Standard offers for successful applicants will typically be conditional on achieving a merit mark in a Master’s degree (where applicable).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
clinicalapplicationpsychology,https://warwick.ac.uk/study/postgraduate/courses/clinicalapplicationpsychology,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Clinical Applications of Psychology taught Master's degree.Explore our Clinical Applications of Psychology taught Master's degree.Skills from this degreeA first class or good 2:i honours degree (or equivalent from overseas Universities) in Psychology or containing Psychology as a major component. Successful applicants should be able to demonstrate their interest in, and commitment to, a career in mental healthcare. Please note, this course only considers UK/EU students with a Psychology degree that provides Graduate Basis for Chartership (BPS). Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
,https://warwick.ac.uk/study/postgraduate/courses/coachingma/,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Coaching taught Master's degree.Explore our Coaching taught Master's degree.The University's standard entrance requirement is an undergraduate degree graded at 2:ii in any discipline. Equivalent professional qualifications can also be considered. If you have alternative qualifications and relevant experience, you are welcome to discuss these with the course team.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
coachingpgcert,https://warwick.ac.uk/study/postgraduate/courses/coachingpgcert,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","The University's standard entrance requirement is an undergraduate degree graded at 2:ii in any discipline. Equivalent professional qualifications can also be considered. If you have alternative qualifications and relevant experience, you are welcome to discuss these with the course team. Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
